Title,Author,Genre,Height,Publisher,image_url
The Lovely Bones,Alice Sebold,Sci-fi,1145090,2002,https://images.gr-assets.com/books/1457810586m/12232938.jpg
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",Sci-fi,6231171,1998,https://images.gr-assets.com/books/1474169725m/15881.jpg
"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",Sci-fi,3046572,2000,https://images.gr-assets.com/books/1361482611m/6.jpg
"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",Sci-fi,2963218,2007,https://images.gr-assets.com/books/1474171184m/136251.jpg
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,Sci-fi,2982101,2003,https://images.gr-assets.com/books/1303252999m/968.jpg
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",Sci-fi,41335427,2005,https://images.gr-assets.com/books/1361039191m/1.jpg
Lord of the Flies,William Golding,Sci-fi,2766512,1954,https://images.gr-assets.com/books/1327869409m/7624.jpg
Romeo and Juliet,"William Shakespeare, Robert           Jackson",Sci-fi,3349450,1595,https://images.gr-assets.com/books/1327872146m/18135.jpg
Gone Girl,Gillian Flynn,Sci-fi,13306276,2012,https://images.gr-assets.com/books/1339602131m/8442457.jpg
The Help,Kathryn Stockett,Sci-fi,4717423,2009,https://images.gr-assets.com/books/1346100365m/4667024.jpg
Of Mice and Men,John Steinbeck,Sci-fi,40283,1937,https://images.gr-assets.com/books/1437235233m/890.jpg
Memoirs of a Geisha,Arthur Golden,Sci-fi,1558965,1997,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,Sci-fi,15732562,2011,https://images.gr-assets.com/books/1385207843m/10818853.jpg
The Alchemist,"Paulo Coelho, Alan R. Clarke",Sci-fi,4835472,1988,https://images.gr-assets.com/books/1483412266m/865.jpg
"The Giver (The Giver, #1)",Lois Lowry,Sci-fi,2543234,1993,https://images.gr-assets.com/books/1342493368m/3636.jpg
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,Sci-fi,4790821,1950,https://images.gr-assets.com/books/1353029077m/100915.jpg
The Time Traveler's Wife,Audrey Niffenegger,Sci-fi,2153746,2003,https://images.gr-assets.com/books/1437728815m/14050.jpg
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,Sci-fi,1466917,1996,https://images.gr-assets.com/books/1436732693m/13496.jpg
"Eat, Pray, Love",Elizabeth Gilbert,Sci-fi,3352398,2006,https://images.gr-assets.com/books/1503066414m/19501.jpg
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,Sci-fi,3346751,2005,https://images.gr-assets.com/books/1400602609m/28187.jpg
"Little Women (Little Women, #1)",Louisa May Alcott,Sci-fi,3244642,1868,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Jane Eyre,"Charlotte Brontë, Michael Mason",Sci-fi,2977639,1847,https://images.gr-assets.com/books/1327867269m/10210.jpg
"The Notebook (The Notebook, #1)",Nicholas Sparks,Sci-fi,1498135,1996,https://images.gr-assets.com/books/1385738917m/15931.jpg
Life of Pi,Yann Martel,Sci-fi,1392700,2001,https://images.gr-assets.com/books/1320562005m/4214.jpg
Water for Elephants,Sara Gruen,Sci-fi,3441236,2006,https://images.gr-assets.com/books/1494428973m/43641.jpg
The Book Thief,Markus Zusak,Sci-fi,878368,2005,https://images.gr-assets.com/books/1390053681m/19063.jpg
Fahrenheit 451,Ray Bradbury,Sci-fi,1272463,1953,https://images.gr-assets.com/books/1351643740m/4381.jpg
"New Moon (Twilight, #2)",Stephenie Meyer,Sci-fi,3203964,2006,https://images.gr-assets.com/books/1361039440m/49041.jpg
Where the Sidewalk Ends,Shel Silverstein,Sci-fi,30518,1974,https://images.gr-assets.com/books/1168052448m/30119.jpg
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,Sci-fi,2267189,2007,https://images.gr-assets.com/books/1432730315m/256683.jpg
"Eclipse (Twilight, #3)",Stephenie Meyer,Sci-fi,2675454,2007,https://images.gr-assets.com/books/1361038355m/428263.jpg
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,Sci-fi,3178011,2002,https://images.gr-assets.com/books/1366212852m/113436.jpg
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,Sci-fi,3078186,1979,https://images.gr-assets.com/books/1327656754m/11.jpg
Brave New World,Aldous Huxley,Sci-fi,3204877,1932,https://images.gr-assets.com/books/1487389574m/5129.jpg
"Breaking Dawn (Twilight, #4)",Stephenie Meyer,Sci-fi,2960529,2008,https://images.gr-assets.com/books/1361039438m/1162543.jpg
The Secret Life of Bees,Sue Monk Kidd,Sci-fi,3275013,2001,https://images.gr-assets.com/books/1473454532m/37435.jpg
The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",Sci-fi,1835605,1884,https://images.gr-assets.com/books/1405973850m/2956.jpg
Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",Sci-fi,987048,1952,https://images.gr-assets.com/books/1439632243m/24178.jpg
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Sci-fi,4259809,2003,https://images.gr-assets.com/books/1479863624m/1618.jpg
The Girl on the Train,Paula Hawkins,Sci-fi,41107568,2015,https://images.gr-assets.com/books/1490903702m/22557272.jpg
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,Sci-fi,1536771,1995,https://images.gr-assets.com/books/1451271747m/119322.jpg
Wuthering Heights,"Emily Brontë, Richard J. Dunn",Sci-fi,1565818,1847,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
My Sister's Keeper,Jodi Picoult,Sci-fi,1639903,2004,https://images.gr-assets.com/books/1369504683m/10917.jpg
Slaughterhouse-Five,Kurt Vonnegut Jr.,Sci-fi,1683562,1969,https://images.gr-assets.com/books/1440319389m/4981.jpg
Gone with the Wind,Margaret Mitchell,Sci-fi,3358283,1936,https://images.gr-assets.com/books/1328025229m/18405.jpg
A Thousand Splendid Suns,Khaled Hosseini,Sci-fi,3271379,2007,https://images.gr-assets.com/books/1345958969m/128029.jpg
The Perks of Being a Wallflower,Stephen Chbosky,Sci-fi,2236198,1999,https://images.gr-assets.com/books/1167352178m/22628.jpg
"Insurgent (Divergent, #2)",Veronica Roth,Sci-fi,15524542,2012,https://images.gr-assets.com/books/1325667729m/11735983.jpg
"Ender's Game (Ender's Saga, #1)",Orson Scott Card,Sci-fi,2422333,1985,https://images.gr-assets.com/books/1408303130m/375802.jpg
Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Sci-fi,4836639,1818,https://images.gr-assets.com/books/1381512375m/18490.jpg
The Shining (The Shining #1),Stephen King,Sci-fi,849585,1977,https://images.gr-assets.com/books/1353277730m/11588.jpg
"The Host (The Host, #1)",Stephenie Meyer,Sci-fi,3328799,2008,https://images.gr-assets.com/books/1318009171m/1656001.jpg
Looking for Alaska,John Green,Sci-fi,919292,2005,https://images.gr-assets.com/books/1394798630m/99561.jpg
"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,Sci-fi,3185154,1996,https://images.gr-assets.com/books/1292060045m/227443.jpg
Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",Sci-fi,2809709,1811,https://images.gr-assets.com/books/1397245675m/14935.jpg
"Holes (Holes, #1)","Louis Sachar, Louis Sachar",Sci-fi,1679789,1998,https://images.gr-assets.com/books/1327781893m/38709.jpg
"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,Sci-fi,38765,2003,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Sci-fi,3356006,-720,https://images.gr-assets.com/books/1390173285m/1381.jpg
The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",Sci-fi,2180358,1946,https://images.gr-assets.com/books/1367545443m/157993.jpg
The Glass Castle,Jeannette Walls,Sci-fi,2944133,2005,https://images.gr-assets.com/books/1400930557m/7445.jpg
Into the Wild,Jon Krakauer,Sci-fi,3284484,1996,https://images.gr-assets.com/books/1403173986m/1845.jpg
A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",Sci-fi,2956372,1859,https://images.gr-assets.com/books/1344922523m/1953.jpg
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,Sci-fi,3376836,1990,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
The Giving Tree,Shel Silverstein,Sci-fi,30530,1964,https://images.gr-assets.com/books/1174210942m/370493.jpg
A Time to Kill,John Grisham,Sci-fi,1804929,1989,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",Sci-fi,265616,1958,https://images.gr-assets.com/books/1473495285m/1617.jpg
Paper Towns,John Green,Sci-fi,3364505,2008,https://images.gr-assets.com/books/1349013610m/6442769.jpg
The Princess Bride ,William Goldman,Sci-fi,992628,1973,https://images.gr-assets.com/books/1327903636m/21787.jpg
The Outsiders,S.E. Hinton,Sci-fi,1426690,1967,https://images.gr-assets.com/books/1442129426m/231804.jpg
"The Maze Runner (Maze Runner, #1)",James Dashner,Sci-fi,6366642,2009,https://images.gr-assets.com/books/1375596592m/6186357.jpg
"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",Sci-fi,5397,2005,https://images.gr-assets.com/books/1327909092m/1202.jpg
The Secret Garden,Frances Hodgson Burnett,Sci-fi,3186437,1911,https://images.gr-assets.com/books/1327873635m/2998.jpg
One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",Sci-fi,3295655,1967,https://images.gr-assets.com/books/1327881361m/320.jpg
The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",Sci-fi,1858012,1891,https://images.gr-assets.com/books/1424596966m/5297.jpg
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,Sci-fi,18034963,2012,https://images.gr-assets.com/books/1336418837m/13536860.jpg
Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",Sci-fi,3165724,1897,https://images.gr-assets.com/books/1387151694m/17245.jpg
"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",Sci-fi,6976108,2006,https://images.gr-assets.com/books/1351778881m/5060378.jpg
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,Sci-fi,16813814,2011,https://images.gr-assets.com/books/1358266080m/11857408.jpg
The Poisonwood Bible,Barbara Kingsolver,Sci-fi,810663,1998,https://images.gr-assets.com/books/1412242487m/7244.jpg
Me Talk Pretty One Day,David Sedaris,Sci-fi,1030767,2000,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Where the Wild Things Are,Maurice Sendak,Sci-fi,3020535,1963,https://images.gr-assets.com/books/1384434560m/19543.jpg
The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",Sci-fi,391568,1844,https://images.gr-assets.com/books/1309203605m/7126.jpg
The Road,Cormac McCarthy,Sci-fi,3355573,2006,https://images.gr-assets.com/books/1439197219m/6288.jpg
"Allegiant (Divergent, #3)",Veronica Roth,Sci-fi,15524549,2013,https://images.gr-assets.com/books/1395582745m/18710190.jpg
Bossypants,Tina Fey,Sci-fi,14302659,2011,https://images.gr-assets.com/books/1481509554m/9418327.jpg
A Walk to Remember,Nicholas Sparks,Sci-fi,3143497,1999,https://images.gr-assets.com/books/1385738968m/3473.jpg
"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,Sci-fi,3237433,2000,https://images.gr-assets.com/books/1327872404m/9416.jpg
Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Sci-fi,3208463,1862,https://images.gr-assets.com/books/1411852091m/24280.jpg
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,Sci-fi,3272005,1998,https://images.gr-assets.com/books/1358254974m/10572.jpg
The Memory Keeper's Daughter,Kim Edwards,Sci-fi,2868431,2005,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Me Before You (Me Before You, #1)",Jojo Moyes,Sci-fi,17763198,2012,https://images.gr-assets.com/books/1357108762m/15507958.jpg
Catch-22,Joseph Heller,Sci-fi,814330,1961,https://images.gr-assets.com/books/1463157317m/168668.jpg
Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",Sci-fi,1995335,1997,https://images.gr-assets.com/books/1423763749m/6900.jpg
Middlesex,Jeffrey Eugenides,Sci-fi,1352495,2002,https://images.gr-assets.com/books/1437029776m/2187.jpg
The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",Sci-fi,41326609,1876,https://images.gr-assets.com/books/1404811979m/24583.jpg
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,Sci-fi,948387,1962,https://images.gr-assets.com/books/1329061522m/18131.jpg
The Joy Luck Club,Amy Tan,Sci-fi,1955658,1989,https://images.gr-assets.com/books/1304978653m/7763.jpg
The Handmaid's Tale,Margaret Atwood,Sci-fi,1119185,1985,https://images.gr-assets.com/books/1498057733m/38447.jpg
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,Sci-fi,1058370,2001,https://images.gr-assets.com/books/1461611233m/452306.jpg
Lolita,"Vladimir Nabokov, Craig Raine",Sci-fi,1268631,1955,https://images.gr-assets.com/books/1377756377m/7604.jpg
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",Sci-fi,1479280,1995,https://images.gr-assets.com/books/1437733293m/37442.jpg
"The Firm (Penguin Readers, Level 5)",John Grisham,Sci-fi,38270,1991,https://images.gr-assets.com/books/1418465200m/5358.jpg
Room,Emma Donoghue,Sci-fi,9585076,2010,https://images.gr-assets.com/books/1344265419m/7937843.jpg
Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",Sci-fi,1885548,1600,https://images.gr-assets.com/books/1351051208m/1420.jpg
Dune (Dune Chronicles #1),Frank Herbert,Sci-fi,3634639,1965,https://images.gr-assets.com/books/1434908555m/234225.jpg
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Sci-fi,2124255,2000,https://images.gr-assets.com/books/1473396980m/2612.jpg
Steve Jobs,Walter Isaacson,Sci-fi,16005831,2011,https://images.gr-assets.com/books/1327861368m/11084145.jpg
One Flew Over the Cuckoo's Nest,Ken Kesey,Sci-fi,2100252,1962,https://images.gr-assets.com/books/1485308778m/332613.jpg
The Old Man and the Sea,Ernest Hemingway,Sci-fi,69741,1952,https://images.gr-assets.com/books/1329189714m/2165.jpg
The Grapes of Wrath,John Steinbeck,Sci-fi,2931549,1939,https://images.gr-assets.com/books/1352912927m/4395.jpg
The Five People You Meet in Heaven,Mitch Albom,Sci-fi,2561472,2003,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,Sci-fi,3464264,1908,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,Sci-fi,3443248,2009,https://images.gr-assets.com/books/1369452339m/3777732.jpg
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,Sci-fi,1164465,2000,https://images.gr-assets.com/books/1497931121m/62291.jpg
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,Sci-fi,1010054,1996,https://images.gr-assets.com/books/1408313524m/137791.jpg
"Outlander (Outlander, #1)",Diana Gabaldon,Sci-fi,2489796,1991,https://images.gr-assets.com/books/1402600310m/10964.jpg
The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",Sci-fi,4925227,1850,https://images.gr-assets.com/books/1404810944m/12296.jpg
"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,Sci-fi,14345371,2011,https://images.gr-assets.com/books/1472782916m/9460487.jpg
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",Sci-fi,12883496,2007,https://images.gr-assets.com/books/1327708260m/6892870.jpg
The Martian,Andy Weir,Sci-fi,21825181,2012,https://images.gr-assets.com/books/1413706054m/18007564.jpg
"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,Sci-fi,3359698,1989,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
All the Light We Cannot See,Anthony Doerr,Sci-fi,25491300,2014,https://images.gr-assets.com/books/1451445646m/18143977.jpg
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Sci-fi,12946965,2010,https://images.gr-assets.com/books/1327861115m/8664353.jpg
Deception Point,Dan Brown,Sci-fi,3135896,2001,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
The Goldfinch,Donna Tartt,Sci-fi,24065147,2013,https://images.gr-assets.com/books/1451554970m/17333223.jpg
Thirteen Reasons Why,Jay Asher,Sci-fi,2588213,2007,https://images.gr-assets.com/books/1333822506m/1217100.jpg
Girl with a Pearl Earring,Tracy Chevalier,Sci-fi,3358875,1999,https://images.gr-assets.com/books/1327197580m/2865.jpg
"If I Stay (If I Stay, #1)",Gayle Forman,Sci-fi,4422413,2009,https://images.gr-assets.com/books/1347462970m/4374400.jpg
The Red Tent,Anita Diamant,Sci-fi,1041558,1997,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,Sci-fi,43554,2006,https://images.gr-assets.com/books/1400602661m/28186.jpg
Dear John,Nicholas Sparks,Sci-fi,3222389,2006,https://images.gr-assets.com/books/1397749854m/5526.jpg
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,Sci-fi,1575860,2008,https://images.gr-assets.com/books/1432730356m/1582996.jpg
Macbeth,William Shakespeare,Sci-fi,1896522,1606,https://images.gr-assets.com/books/1459795224m/8852.jpg
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,Sci-fi,2963845,1954,https://images.gr-assets.com/books/1298415523m/15241.jpg
"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,Sci-fi,1789440,2004,https://images.gr-assets.com/books/1305063535m/42156.jpg
Green Eggs and Ham,"Dr. Seuss, לאה נאור",Sci-fi,86934,1960,https://images.gr-assets.com/books/1468680100m/23772.jpg
"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",Sci-fi,2765786,1964,https://images.gr-assets.com/books/1309211401m/6310.jpg
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,Sci-fi,2377629,2008,https://images.gr-assets.com/books/1443142158m/2120932.jpg
Great Expectations,Charles Dickens,Sci-fi,2612809,1860,https://images.gr-assets.com/books/1327920219m/2623.jpg
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,Sci-fi,2964424,1955,https://images.gr-assets.com/books/1389977161m/18512.jpg
The Stranger,"Albert Camus, Matthew    Ward",Sci-fi,3324344,1942,https://images.gr-assets.com/books/1349927872m/49552.jpg
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,Sci-fi,10107891,2010,https://images.gr-assets.com/books/1464201003m/7736182.jpg
Eleanor & Park,Rainbow Rowell,Sci-fi,17225055,2013,https://images.gr-assets.com/books/1341952742m/15745753.jpg
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,Sci-fi,1019062,2005,https://images.gr-assets.com/books/1429538615m/13497.jpg
"Matched (Matched, #1)",Ally Condie,Sci-fi,9631645,2010,https://images.gr-assets.com/books/1367706191m/7735333.jpg
"American Gods (American Gods, #1)",Neil Gaiman,Sci-fi,1970226,2001,https://images.gr-assets.com/books/1258417001m/4407.jpg
The Stand,"Stephen King, Bernie Wrightson",Sci-fi,1742269,1978,https://images.gr-assets.com/books/1213131305m/149267.jpg
The Last Song,Nicholas Sparks,Sci-fi,6588800,2008,https://images.gr-assets.com/books/1286549186m/6400090.jpg
Digital Fortress,Dan Brown,Sci-fi,40195,1998,https://images.gr-assets.com/books/1360095966m/11125.jpg
Emma,"Jane Austen, Fiona Stafford",Sci-fi,3360164,1815,https://images.gr-assets.com/books/1373627931m/6969.jpg
Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Sci-fi,2507928,1877,https://images.gr-assets.com/books/1352422904m/15823480.jpg
A Clockwork Orange,Anthony Burgess,Sci-fi,23596,1962,https://images.gr-assets.com/books/1348339306m/227463.jpg
The Shack,William Paul Young,Sci-fi,2666268,2007,https://images.gr-assets.com/books/1344270232m/1812457.jpg
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,Sci-fi,4551489,2009,https://images.gr-assets.com/books/1327924597m/4502507.jpg
It,Stephen King,Sci-fi,150259,1986,https://images.gr-assets.com/books/1309376909m/18342.jpg
Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",Sci-fi,3393917,1866,https://images.gr-assets.com/books/1382846449m/7144.jpg
The Bell Jar,Sylvia Plath,Sci-fi,1385044,1963,https://images.gr-assets.com/books/1473890514m/6514.jpg
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,Sci-fi,2883783,1996,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Siddhartha,"Hermann Hesse, Hilda Rosner",Sci-fi,4840290,1922,https://images.gr-assets.com/books/1428715580m/52036.jpg
In Cold Blood,Truman Capote,Sci-fi,1940709,1965,https://images.gr-assets.com/books/1424931136m/168642.jpg
"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",Sci-fi,6488966,2009,https://images.gr-assets.com/books/1327873282m/6304335.jpg
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,Sci-fi,6674837,2010,https://images.gr-assets.com/books/1454962884m/7171637.jpg
Matilda,"Roald Dahl, Quentin Blake",Sci-fi,1015554,1988,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
The Night Circus,Erin Morgenstern,Sci-fi,14245059,2011,https://images.gr-assets.com/books/1387124618m/9361589.jpg
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,Sci-fi,3248536,2001,https://images.gr-assets.com/books/1355932638m/37470.jpg
"Uglies (Uglies, #1)",Scott Westerfeld,Sci-fi,2895388,2005,https://images.gr-assets.com/books/1443904172m/24770.jpg
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,Sci-fi,2936175,2011,https://images.gr-assets.com/books/1327885335m/10664113.jpg
"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,Sci-fi,3462456,1955,https://images.gr-assets.com/books/1411114164m/33.jpg
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,Sci-fi,17237712,2012,https://images.gr-assets.com/books/1453189881m/12262741.jpg
Watchmen,"Alan Moore, Dave Gibbons, John Higgins",Sci-fi,4358649,1987,https://images.gr-assets.com/books/1442239711m/472331.jpg
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,Sci-fi,2502879,2007,https://images.gr-assets.com/books/1472068073m/186074.jpg
Outliers: The Story of Success,Malcolm Gladwell,Sci-fi,3364437,2008,https://images.gr-assets.com/books/1344266315m/3228917.jpg
"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",Sci-fi,2409320,1851,https://images.gr-assets.com/books/1327940656m/153747.jpg
The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",Sci-fi,2754161,2008,https://images.gr-assets.com/books/1351979318m/2728527.jpg
Fight Club,Chuck Palahniuk,Sci-fi,68729,1996,https://images.gr-assets.com/books/1357128997m/5759.jpg
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,Sci-fi,479517,2001,https://images.gr-assets.com/books/1468560853m/301082.jpg
The Color Purple,Alice Walker,Sci-fi,3300573,1982,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
